"date","brl","cny","mxn","brl_interpolated","cny_interpolated","mxn_interpolated"
2012-07-17,2.0327,6.3725,13.223,FALSE,FALSE,FALSE
2012-07-18,2.0214,6.369,13.1066,FALSE,FALSE,FALSE
2012-07-19,2.0212,6.3724,13.204,FALSE,FALSE,FALSE
2012-07-20,2.0217,6.3734,13.2976,FALSE,FALSE,FALSE
2012-07-21,2.0217,6.3734,13.2976,TRUE,TRUE,TRUE
2012-07-22,2.0217,6.3734,13.2976,TRUE,TRUE,TRUE
2012-07-23,2.0393,6.3856,13.5275,FALSE,FALSE,FALSE
2012-07-24,2.0428,6.3857,13.72,FALSE,FALSE,FALSE
2012-07-25,2.0381,6.3879,13.6626,FALSE,FALSE,FALSE
2012-07-26,2.0268,6.3839,13.4441,FALSE,FALSE,FALSE
2012-07-27,2.0138,6.3807,13.269,FALSE,FALSE,FALSE
2012-07-28,2.0138,6.3807,13.269,TRUE,TRUE,TRUE
2012-07-29,2.0138,6.3807,13.269,TRUE,TRUE,TRUE
2012-07-30,2.0354,6.3792,13.2625,FALSE,FALSE,FALSE
2012-07-31,2.0514,6.361,13.2669,FALSE,FALSE,FALSE
2012-08-01,2.0384,6.368,13.2677,FALSE,FALSE,FALSE
2012-08-02,2.0514,6.3671,13.3959,FALSE,FALSE,FALSE
2012-08-03,2.0237,6.3721,13.1177,FALSE,FALSE,FALSE
2012-08-04,2.0237,6.3721,13.1177,TRUE,TRUE,TRUE
2012-08-05,2.0237,6.3721,13.1177,TRUE,TRUE,TRUE
2012-08-06,2.026,6.3738,13.0597,FALSE,FALSE,FALSE
2012-08-07,2.027,6.3664,13.1797,FALSE,FALSE,FALSE
2012-08-08,2.0228,6.361,13.169,FALSE,FALSE,FALSE
2012-08-09,2.0175,6.3579,13.1265,FALSE,FALSE,FALSE
2012-08-10,2.015,6.3599,13.0965,FALSE,FALSE,FALSE
2012-08-11,2.015,6.3599,13.0965,TRUE,TRUE,TRUE
2012-08-12,2.015,6.3599,13.0965,TRUE,TRUE,TRUE
2012-08-13,2.0279,6.3611,13.162,FALSE,FALSE,FALSE
2012-08-14,2.0256,6.3586,13.1421,FALSE,FALSE,FALSE
2012-08-15,2.023,6.3619,13.1501,FALSE,FALSE,FALSE
